review,voted_up,playtime_hours,votes_up,burnout_score,review_lower,theme_endgame_emptiness,theme_grind_fatigue,theme_pal_management_burden,theme_base_building_issues,theme_early_access_unfinished,theme_progression_ceiling,theme_performance_bugs,theme_update_disappointment,theme_raid_dungeon_lack,theme_multiplayer_issues,theme_creative_freedom_positive,theme_quit_signal,playtime_bucket
Its not the best game in the whole world but it keeps me entertained.  I dont like taking care of Pals anymore so I just dont do that anymore.  I basically just collect materials etc and build houses.  I love that I can get quite creative if I put my mind to it and I like that it is not strongly quest driven so I feel free to do as I please and I LOVE that I dont have to play with people.  I also like that I dont have to pay for anything.  So sick and tired of purchasing crap from other games and then having to delete the game later because it turns out it sucks.  There are issues with building in this game but hey no game is perfect.,True,955.85,8,7,its not the best game in the whole world but it keeps me entertained.  i dont like taking care of pals anymore so i just dont do that anymore.  i basically just collect materials etc and build houses.  i love that i can get quite creative if i put my mind to it and i like that it is not strongly quest driven so i feel free to do as i please and i love that i dont have to play with people.  i also like that i dont have to pay for anything.  so sick and tired of purchasing crap from other games and then having to delete the game later because it turns out it sucks.  there are issues with building in this game but hey no game is perfect.,0,0,1,0,0,0,0,0,0,1,1,1,800h+
"Palworld is a nice little game. It's ARK with Pokemon. I bought the game because I heard many great things about it, and I remember people loving the game when it first launched.

Unfortunately, I have quite a few problems with the game. IMO there are a lot of baffling decisions when it comes to the difficulty, even if ""oh it's fine though cause you can change it at will"". I find this is still worthy of criticism because the default settings themselves don't feel balanced, so you need to tweak things slowly until you find what works for you. That, or you look up an online guide that says ""these are the best palworld settings for maximum fun!"" but fun is subjective...

The music is perfectly mediocre. Not much else to say about it lol

Quests are a nice little checkmark, but the lack of any real interconnected quest or side story makes it feel empty. It would've been nice if the game had quest chains with written stories, but nah, they're all individual.

The ""main story"" or ""main objective"" to defeat the towers is... serviceable. The unfortunate thing is that the game doesn't eventually develop into a mood of ""you're now in the final area! You've almost beaten the game!"". Things just feel the same, all the time. The only difference is that now you can unlock things in the upgrade tree... yay? I've yet to defeat the Feybreak Tower, but part of me believes me that the game will not have any closure or sense of finality once I do that. You may argue that the game is still in early access.. but c'mon. That's just cope.

The combat itself is really whatever. Player interactivity feels practically absent: Because Player weapons feel so weak in general, the only thing you're left to do in combat is use items, switch Pals, and dodge attacks. This makes Palworld feel more like an auto-clicker/afk.

One more problem I can point out is the grinding is so monotonous in the late game. Yes, change the settings... But if your stuff is underleveled, there's isn't a fun way to level up your Pals if you're trying to get from 60 to 65. This problem is highlighted even more when you realize the combat is just a dodge/switch Pal loop.

--

For the positives though, and why Palworld may be good for you..
- You like optimizing teams
- You like exploring
- The game genuinely feels like an ""Open world Pokemon game"" at times
- You like breeding
- You like collecting 
- You like optimizing workflow in a factory setting

To conclude, I've had my fun with the game, but I find it hard to believe there isn't a better game out there than what Palworld has to offer. The fact that I got mislead by the people who called it ""Pokemon with guns"" when it's actually ""ARK with a pokemon mod"" feels saddening, because I would've thought the game had more stuff to do with the Pals other than labor.  

You could say that ""Palworld just isn't for me"", and that might be true. I do like my games to have a sense of direction and finality to them, like how you can still explore and do things in Elden Ring after you've defeated the final boss (which you know is the final boss due to the setup).

At the very least, in terms of the Price per Playtime, Palworld is definitely worth buying.",False,263.43333333333334,8,9,"palworld is a nice little game. it's ark with pokemon. i bought the game because i heard many great things about it, and i remember people loving the game when it first launched.

unfortunately, i have quite a few problems with the game. imo there are a lot of baffling decisions when it comes to the difficulty, even if ""oh it's fine though cause you can change it at will"". i find this is still worthy of criticism because the default settings themselves don't feel balanced, so you need to tweak things slowly until you find what works for you. that, or you look up an online guide that says ""these are the best palworld settings for maximum fun!"" but fun is subjective...

the music is perfectly mediocre. not much else to say about it lol

quests are a nice little checkmark, but the lack of any real interconnected quest or side story makes it feel empty. it would've been nice if the game had quest chains with written stories, but nah, they're all individual.

the ""main story"" or ""main objective"" to defeat the towers is... serviceable. the unfortunate thing is that the game doesn't eventually develop into a mood of ""you're now in the final area! you've almost beaten the game!"". things just feel the same, all the time. the only difference is that now you can unlock things in the upgrade tree... yay? i've yet to defeat the feybreak tower, but part of me believes me that the game will not have any closure or sense of finality once i do that. you may argue that the game is still in early access.. but c'mon. that's just cope.

the combat itself is really whatever. player interactivity feels practically absent: because player weapons feel so weak in general, the only thing you're left to do in combat is use items, switch pals, and dodge attacks. this makes palworld feel more like an auto-clicker/afk.

one more problem i can point out is the grinding is so monotonous in the late game. yes, change the settings... but if your stuff is underleveled, there's isn't a fun way to level up your pals if you're trying to get from 60 to 65. this problem is highlighted even more when you realize the combat is just a dodge/switch pal loop.

--

for the positives though, and why palworld may be good for you..
- you like optimizing teams
- you like exploring
- the game genuinely feels like an ""open world pokemon game"" at times
- you like breeding
- you like collecting 
- you like optimizing workflow in a factory setting

to conclude, i've had my fun with the game, but i find it hard to believe there isn't a better game out there than what palworld has to offer. the fact that i got mislead by the people who called it ""pokemon with guns"" when it's actually ""ark with a pokemon mod"" feels saddening, because i would've thought the game had more stuff to do with the pals other than labor.  

you could say that ""palworld just isn't for me"", and that might be true. i do like my games to have a sense of direction and finality to them, like how you can still explore and do things in elden ring after you've defeated the final boss (which you know is the final boss due to the setup).

at the very least, in terms of the price per playtime, palworld is definitely worth buying.",0,3,0,0,1,0,0,0,0,0,0,1,150-300h
Until you reach the 5th/6th tower the game is a lot of fun. After that it becomes an absolute slog of grinding and frustration. Mid to late game bosses have way too much health and deal way too much damage to the point where if you bring a full team that counters the bosses element they will be one shot anyway. Materials needed for late game gear have absurd crafting costs that take way too long farm for (the strongest weapon currently is not even worth crafting because the amount of materials needed to craft the ammo is ridiculous). I wish I could recommend it as the first half of the game is genuinely well paced but after that it just becomes monotonous.,False,140.51666666666668,1,7,until you reach the 5th/6th tower the game is a lot of fun. after that it becomes an absolute slog of grinding and frustration. mid to late game bosses have way too much health and deal way too much damage to the point where if you bring a full team that counters the bosses element they will be one shot anyway. materials needed for late game gear have absurd crafting costs that take way too long farm for (the strongest weapon currently is not even worth crafting because the amount of materials needed to craft the ammo is ridiculous). i wish i could recommend it as the first half of the game is genuinely well paced but after that it just becomes monotonous.,0,3,0,0,0,0,0,0,0,0,0,0,50-150h
"---{ 1 / 10 }---
☑ 1
☐ 2
☐ 3
☐ 4
☐ 5
☐ 6
☐ 7
☐ 8
☐ 9
☐ 10

I Believe I've died in this game 20+ times to clipping through the ground. Enemies often get stuck in corners and bug out. Everything is a crazy grind on standard settings. The game crashes all the time! Hardly any music at all in this game! By far the worst thing about this game was the boss/raid boss fights. I couldn't see at all in most of them. Visual effects that blinds the player for several seconds, which is totally disorienting. I'll include some screen shots of this horrible graphical design. 

https://steamcommunity.com/sharedfiles/filedetails/?id=3724318531

https://steamcommunity.com/sharedfiles/filedetails/?id=3724319162
",False,143.61666666666667,2,7,"---{ 1 / 10 }---
☑ 1
☐ 2
☐ 3
☐ 4
☐ 5
☐ 6
☐ 7
☐ 8
☐ 9
☐ 10

i believe i've died in this game 20+ times to clipping through the ground. enemies often get stuck in corners and bug out. everything is a crazy grind on standard settings. the game crashes all the time! hardly any music at all in this game! by far the worst thing about this game was the boss/raid boss fights. i couldn't see at all in most of them. visual effects that blinds the player for several seconds, which is totally disorienting. i'll include some screen shots of this horrible graphical design. 

https://steamcommunity.com/sharedfiles/filedetails/?id=3724318531

https://steamcommunity.com/sharedfiles/filedetails/?id=3724319162
",0,1,0,0,0,1,3,0,2,0,0,0,50-150h
"I stayed off this game at first as I thought it was a pokemon rip off. Yet, after researching and know more about the lawsuit, I decided to try as I was bored as f and I have friends to play with at that time. 

I was genuinely suprisied how good this game is.

Graphics Sublime. Map was Great despite not fully open yet. Nintendo shame on you. Money grabbing for years and still can't make a well run pokemon game.

The Pals were not the most creative as you might have known by watching videos. Yet, the mechanics of this game is just everything we wanted from a pokemon game. Throwing the spheres, mounting and controlling our pals. Using our pals' abilities.  etc etc. I think the game did a great job to satisfy the OG pokemon players by implementing such a immersive system to fight and bond with our pals. 

The baseworking pal system was also a good design eventhough turning my pals into slavery was never on my bucketlist. It add depths to the pals and also set a different direction to normal pokemon experience.

The building system was the most suprising. I am pretty bad at it but if you have ever look palworld builds on Youtube. So much you can do with this building system.

For now, I am waiting for the 1.0 version to start and learn the game all over again. 

Eventhough there migh be a lot of controversies surrounding this game, you can't denie that this is an amazing game. 

Pokemon Scarlet and Violet was the first everpokemon game that I actually play. I did manage to play til the end (without DLC). Yet, I have fight against the toaster graphics of my switch and kindergarden main story to finsh the game. The graphics and open world system is enough for Palworld to surpass Pokemon recent titles including legend series,

Palworld might be the new default creature capture game for me. Pokemon+Ark with an automatic rifle to torture the pals? It is a big yes for me. 

9/10 -1 for the grinding you need to do to make your pals perfect.",True,304.9833333333333,1,7,"i stayed off this game at first as i thought it was a pokemon rip off. yet, after researching and know more about the lawsuit, i decided to try as i was bored as f and i have friends to play with at that time. 

i was genuinely suprisied how good this game is.

graphics sublime. map was great despite not fully open yet. nintendo shame on you. money grabbing for years and still can't make a well run pokemon game.

the pals were not the most creative as you might have known by watching videos. yet, the mechanics of this game is just everything we wanted from a pokemon game. throwing the spheres, mounting and controlling our pals. using our pals' abilities.  etc etc. i think the game did a great job to satisfy the og pokemon players by implementing such a immersive system to fight and bond with our pals. 

the baseworking pal system was also a good design eventhough turning my pals into slavery was never on my bucketlist. it add depths to the pals and also set a different direction to normal pokemon experience.

the building system was the most suprising. i am pretty bad at it but if you have ever look palworld builds on youtube. so much you can do with this building system.

for now, i am waiting for the 1.0 version to start and learn the game all over again. 

eventhough there migh be a lot of controversies surrounding this game, you can't denie that this is an amazing game. 

pokemon scarlet and violet was the first everpokemon game that i actually play. i did manage to play til the end (without dlc). yet, i have fight against the toaster graphics of my switch and kindergarden main story to finsh the game. the graphics and open world system is enough for palworld to surpass pokemon recent titles including legend series,

palworld might be the new default creature capture game for me. pokemon+ark with an automatic rifle to torture the pals? it is a big yes for me. 

9/10 -1 for the grinding you need to do to make your pals perfect.",0,2,0,0,0,1,0,0,0,2,1,0,300-500h
"so writing this during the time between tides of terraria>1.0
game is a neat collectathon, base management.
theres a ton of settings you can edit. a great example is egg hatching times in single player to can just have it instantly done. edit exp rates.
i have done multiple runs of the game. 
something really needed is for organizeation purposes in base no carry weight. it is something i really would like.
sure i can edit world settings and make everything weigh effectivly 0 but i just want  to move my stack of stone/wood/iron into some other chest.
love the game hope. the lawsuit changes get reverted at some point once thats all over.
just understand to do alot of the end game content you have to really grind. approach the game with that mentality you should be fine.",True,466.85,0,7,"so writing this during the time between tides of terraria>1.0
game is a neat collectathon, base management.
theres a ton of settings you can edit. a great example is egg hatching times in single player to can just have it instantly done. edit exp rates.
i have done multiple runs of the game. 
something really needed is for organizeation purposes in base no carry weight. it is something i really would like.
sure i can edit world settings and make everything weigh effectivly 0 but i just want  to move my stack of stone/wood/iron into some other chest.
love the game hope. the lawsuit changes get reverted at some point once thats all over.
just understand to do alot of the end game content you have to really grind. approach the game with that mentality you should be fine.",1,1,0,0,0,1,0,0,0,0,0,0,300-500h
"Guns, Open world, creature capturing, and base building. The game is fun if a little grindy (which i don't mind). The setting can be controlled to suit your playstyle. Random creature and level spawns is available. I recommend just jumping and having fun.",True,360.28333333333336,0,7,"guns, open world, creature capturing, and base building. the game is fun if a little grindy (which i don't mind). the setting can be controlled to suit your playstyle. random creature and level spawns is available. i recommend just jumping and having fun.",0,2,0,1,0,0,0,0,0,0,0,0,300-500h
Good game however the grind at the later levels is absolutely horrendous. Doubt I will complete it.,True,387.3333333333333,0,7,good game however the grind at the later levels is absolutely horrendous. doubt i will complete it.,0,1,0,0,0,0,0,0,0,0,0,0,300-500h
"Very fun, entertainingly quirky. It's like a love-letter to all the survival/building games out there, and honestly for all the obvious appearance comparisons out there...

This game feels like the devs played Ark and Conan Exiles, got frustrated with the mechanics in those, and said they could do better. And in general they did. For all the ""off-brand Pokewhatever"" vibe, I pick up a lot of the Pals being far more reminiscent of some of the mid-to-endgame dinos from Ark (Reptyro, I'm lookin' at you, you're the Ankylo's anime cousin.)

This is perfectly playable in early access, and they keep adding free content -- collabs and additions that aren't doing that ""pay for this DLC before the game is out of early access"" nonsense thus far.

It runs far better than and has way less jank in base building than Ark EVER HAS. Thus far my experience is the bugs are few and far between. The dungeons and boss instances are a little repetitive but fun.

The only real issue I have is while working through the main quest sometimes there's a real jump, you get told ""go beat this boss in this place"" and they're waaaaay tougher than the previous boss, so you have to take time and build up when you didn't expect it.",True,118.16666666666669,0,6,"very fun, entertainingly quirky. it's like a love-letter to all the survival/building games out there, and honestly for all the obvious appearance comparisons out there...

this game feels like the devs played ark and conan exiles, got frustrated with the mechanics in those, and said they could do better. and in general they did. for all the ""off-brand pokewhatever"" vibe, i pick up a lot of the pals being far more reminiscent of some of the mid-to-endgame dinos from ark (reptyro, i'm lookin' at you, you're the ankylo's anime cousin.)

this is perfectly playable in early access, and they keep adding free content -- collabs and additions that aren't doing that ""pay for this dlc before the game is out of early access"" nonsense thus far.

it runs far better than and has way less jank in base building than ark ever has. thus far my experience is the bugs are few and far between. the dungeons and boss instances are a little repetitive but fun.

the only real issue i have is while working through the main quest sometimes there's a real jump, you get told ""go beat this boss in this place"" and they're waaaaay tougher than the previous boss, so you have to take time and build up when you didn't expect it.",1,1,0,1,1,0,2,1,1,0,0,0,50-150h
"I'm a very casual gamer and I enjoy that quite literally everything can be achieved individually if you so choose, or as a team.  This isn't Pokemon per say, more a great survival adaption that involves creatures. Even though I've played through every level and update thus far, I'm still an avid player.",True,578.7666666666667,0,7,"i'm a very casual gamer and i enjoy that quite literally everything can be achieved individually if you so choose, or as a team.  this isn't pokemon per say, more a great survival adaption that involves creatures. even though i've played through every level and update thus far, i'm still an avid player.",0,0,0,0,0,1,0,1,0,0,0,1,500-800h
